Date,Y,H1,H2,H4,H8,N1,N2,N4,N8,F1,F2,F4,F8
01-10-12,16239.138,1.559720478,1.406741285,1.823322104,2.156530936,1.559720478,0.626881046,0.645134646,0.354531291,0.881775993,0.123320404,0.795079785,0.561215971
01-01-13,16382.964,1.253762092,1.576514676,1.787306245,2.449204907,1.253762092,0.94963363,0.35391426,0.48763903,0.123320404,0.780362404,-0.283105552,0.78175636
01-04-13,16403.18,1.89926726,2.239902923,2.133100111,2.704376692,1.89926726,1.290269293,0.659234389,0.411892046,0.780362404,0.795079785,1.344600921,0.738625048
01-07-13,16531.685,2.580538586,1.998097813,2.425811832,2.768431853,2.580538586,0.70782852,0.767528536,0.301463569,0.795079785,-0.283105552,1.213538991,0.330111171
01-10-13,16663.649,1.415657041,2.026297299,2.489739769,2.681241128,1.415657041,1.318468779,0.709062583,0.235376599,-0.283105552,1.344600921,0.561215971,0.03252021
01-01-14,16616.54,2.636937558,2.853525852,3.111103569,2.704707165,2.636937558,1.535057073,0.975278061,0.200423167,1.344600921,1.213538991,0.78175636,0.502128904
01-04-14,16841.475,3.070114145,2.953182238,3.275653272,2.5418405,3.070114145,1.418125165,0.823784093,0.16675053,1.213538991,0.561215971,0.738625048,0.469243953
01-07-14,17047.098,2.83625033,3.368681287,3.111051874,2.351166123,2.83625033,1.950556122,0.602927138,0.193089891,0.561215971,0.78175636,0.330111171,0.540826061
01-10-14,17143.038,3.901112243,3.598124307,2.872742488,2.248341734,3.901112243,1.647568185,0.470753197,0.251706902,0.78175636,0.738625048,0.03252021,0.501456296
01-01-15,17277.58,3.29513637,2.85342246,2.298310761,2.020291547,3.29513637,1.205854275,0.400846334,0.259588844,0.738625048,0.330111171,0.502128904,0.56518444
01-04-15,17405.669,2.41170855,2.14736067,1.808027728,1.8759546,2.41170855,0.941506395,0.33350106,0.267555099,0.330111171,0.03252021,0.469243953,0.532973998
01-07-15,17463.222,1.88301279,1.743199062,1.591280373,1.872903761,1.88301279,0.801692667,0.386179782,0.298412729,0.03252021,0.502128904,0.540826061,0.7876871
01-10-15,17468.902,1.603385334,1.468694787,1.623940979,1.982139966,1.603385334,0.66700212,0.503413804,0.344612804,0.502128904,0.469243953,0.501456296,0.871056893
